,car,street,side,entry_pos,entry_time,num_cars_current_street,exit_time,num_cars_next_street,next_road,next_road_light
17,u0x,tom mb,left,3,2020-11-22 15:38:49.841153,0,2020-11-22 15:38:50.114088,1.0,tom mb,
18,080,tom mb,left,4,2020-11-22 15:38:50.001084,1,2020-11-22 15:38:50.114088,2.0,tom mb,
19,brw,tom mb,left,5,2020-11-22 15:38:50.033083,2,2020-11-22 15:38:50.114088,3.0,tom mb,
20,a3w,tom mb,left,6,2020-11-22 15:38:50.081084,3,2020-11-22 15:38:50.114088,4.0,tom mb,
21,zpz,tom mb,right,1,2020-11-22 15:38:49.700085,0,2020-11-22 15:38:50.114088,,,
22,k4w,tom mb,right,2,2020-11-22 15:38:49.889083,0,2020-11-22 15:38:50.114088,,,
23,cua,tom mb,right,3,2020-11-22 15:38:49.921085,0,2020-11-22 15:38:50.114088,,,
24,2ld,tom mb,right,4,2020-11-22 15:38:50.114088,0,2020-11-22 15:38:50.114088,,,
25,4tn,tom mb,right,5,2020-11-22 15:38:50.114088,0,2020-11-22 15:38:50.114088,1.0,uni way,
26,me9,ronald,left,1,2020-11-22 15:38:50.017083,0,2020-11-22 15:38:50.114088,2.0,uni way,
27,j5g,ronald,left,2,2020-11-22 15:38:50.113088,0,2020-11-22 15:38:50.114088,3.0,uni way,
28,f2b,ronald,left,3,2020-11-22 15:38:50.113088,0,2020-11-22 15:38:50.114088,4.0,uni way,
29,zcc,ronald,right,1,2020-11-22 15:38:49.793094,0,2020-11-22 15:38:50.114088,2.0,moi av,
30,ecn,ronald,right,2,2020-11-22 15:38:50.049085,0,2020-11-22 15:38:50.114088,,,
31,hrb,ronald,right,3,2020-11-22 15:38:50.065084,0,2020-11-22 15:38:50.114088,,,
32,5wc,uni way,left,1,2020-11-22 15:38:50.113088,2,2020-11-22 15:38:50.321108,3.0,uni way,
33,me9,uni way,left,2,2020-11-22 15:38:50.114088,3,2020-11-22 15:38:50.321108,,,
34,j5g,uni way,left,3,2020-11-22 15:38:50.114088,3,2020-11-22 15:38:50.322085,4.0,uni way,
35,f2b,uni way,left,4,2020-11-22 15:38:50.114088,4,2020-11-22 15:38:50.322085,,,
36,5a2,uni way,left,5,2020-11-22 15:38:50.145100,4,2020-11-22 15:38:50.322085,,,
37,5pl,uni way,left,6,2020-11-22 15:38:50.177084,4,2020-11-22 15:38:50.322085,,,
38,4tn,uni way,right,1,2020-11-22 15:38:50.114088,0,2020-11-22 15:38:50.322085,,,
39,mca,moi av,left,1,2020-11-22 15:38:50.257114,0,2020-11-22 15:38:50.322085,,,
40,7nu,moi av,right,7,2020-11-22 15:38:50.113088,0,2020-11-22 15:38:50.322085,,,
41,zcc,moi av,right,2,2020-11-22 15:38:50.114088,0,2020-11-22 15:38:50.322085,3.0,tom mb,
42,hen,moi av,right,3,2020-11-22 15:38:50.129086,0,2020-11-22 15:38:50.322085,4.0,tom mb,
43,flk,moi av,right,4,2020-11-22 15:38:50.321108,0,2020-11-22 15:38:50.322085,5.0,tom mb,
44,u0x,tom mb,left,1,2020-11-22 15:38:50.114088,0,2020-11-22 15:38:50.322085,1.0,tom mb,
45,080,tom mb,left,2,2020-11-22 15:38:50.114088,1,2020-11-22 15:38:50.322085,2.0,tom mb,
46,brw,tom mb,left,3,2020-11-22 15:38:50.114088,2,2020-11-22 15:38:50.322085,3.0,tom mb,
47,a3w,tom mb,left,4,2020-11-22 15:38:50.114088,3,2020-11-22 15:38:50.322085,,,
48,9m0,tom mb,left,5,2020-11-22 15:38:50.241092,3,2020-11-22 15:38:50.322085,4.0,tom mb,
49,zrx,tom mb,right,1,2020-11-22 15:38:50.209088,0,2020-11-22 15:38:50.322085,1.0,uni way,
50,jy7,tom mb,right,2,2020-11-22 15:38:50.305144,0,2020-11-22 15:38:50.322085,2.0,uni way,
51,zcc,tom mb,right,3,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.322085,3.0,uni way,
52,hen,tom mb,right,4,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.322085,,,
53,flk,tom mb,right,5,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.322085,,,
54,akz,ronald,right,1,2020-11-22 15:38:50.115088,0,2020-11-22 15:38:50.322085,,,
55,m4h,ronald,right,2,2020-11-22 15:38:50.161084,0,2020-11-22 15:38:50.322085,,,
56,hyt,ronald,right,3,2020-11-22 15:38:50.225085,0,2020-11-22 15:38:50.322085,,,
57,2gl,ronald,right,4,2020-11-22 15:38:50.274088,0,2020-11-22 15:38:50.322085,1.0,moi av,
58,9n3,uni way,left,7,2020-11-22 15:38:50.193087,0,2020-11-22 15:38:50.528276,1.0,uni way,
59,f7g,uni way,left,8,2020-11-22 15:38:50.290088,1,2020-11-22 15:38:50.528276,,,
60,5wc,uni way,left,3,2020-11-22 15:38:50.321108,1,2020-11-22 15:38:50.528276,2.0,uni way,
61,j5g,uni way,left,4,2020-11-22 15:38:50.322085,2,2020-11-22 15:38:50.528276,,,
62,sxq,uni way,left,5,2020-11-22 15:38:50.465086,2,2020-11-22 15:38:50.528276,,,
63,zrx,uni way,right,1,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.529289,,,
64,jy7,uni way,right,2,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.529289,5.0,moi av,
65,zcc,uni way,right,3,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.529289,,,
66,kxc,moi av,left,1,2020-11-22 15:38:50.337087,0,2020-11-22 15:38:50.529289,1.0,ronald,
67,gv5,moi av,left,2,2020-11-22 15:38:50.449094,0,2020-11-22 15:38:50.529289,,,
68,e55,moi av,left,3,2020-11-22 15:38:50.481153,0,2020-11-22 15:38:50.529289,2.0,ronald,
69,2gl,moi av,right,1,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.529289,4.0,tom mb,
70,wnq,moi av,right,2,2020-11-22 15:38:50.385084,0,2020-11-22 15:38:50.529289,,,
71,yqp,moi av,right,3,2020-11-22 15:38:50.433084,0,2020-11-22 15:38:50.529289,5.0,tom mb,
72,wa8,moi av,right,4,2020-11-22 15:38:50.512490,0,2020-11-22 15:38:50.529289,6.0,tom mb,
73,jy7,moi av,right,5,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,,,
74,u0x,tom mb,left,1,2020-11-22 15:38:50.322085,0,2020-11-22 15:38:50.529289,1.0,tom mb,
75,080,tom mb,left,2,2020-11-22 15:38:50.322085,1,2020-11-22 15:38:50.529289,,,
76,brw,tom mb,left,3,2020-11-22 15:38:50.322085,1,2020-11-22 15:38:50.529289,,,
77,9m0,tom mb,left,4,2020-11-22 15:38:50.322085,1,2020-11-22 15:38:50.529289,,,
78,0ld,tom mb,left,5,2020-11-22 15:38:50.528276,1,2020-11-22 15:38:50.529289,2.0,tom mb,
79,p4r,tom mb,right,1,2020-11-22 15:38:50.353085,0,2020-11-22 15:38:50.529289,,,
80,l3p,tom mb,right,2,2020-11-22 15:38:50.417084,0,2020-11-22 15:38:50.529289,1.0,uni way,
81,z8j,tom mb,right,3,2020-11-22 15:38:50.497137,0,2020-11-22 15:38:50.529289,2.0,uni way,
82,2gl,tom mb,right,4,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,3.0,uni way,
83,yqp,tom mb,right,5,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,,,
84,wa8,tom mb,right,6,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,4.0,uni way,
85,kxc,ronald,left,1,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,3.0,uni way,
86,e55,ronald,left,2,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.529289,,,
87,7ya,ronald,right,1,2020-11-22 15:38:50.369084,0,2020-11-22 15:38:50.529289,1.0,moi av,
88,g3c,ronald,right,2,2020-11-22 15:38:50.401085,0,2020-11-22 15:38:50.529289,2.0,moi av,
89,9n3,uni way,left,1,2020-11-22 15:38:50.528276,0,2020-11-22 15:38:50.732509,1.0,uni way,
90,5wc,uni way,left,2,2020-11-22 15:38:50.528276,1,2020-11-22 15:38:50.732509,2.0,uni way,
91,kxc,uni way,left,3,2020-11-22 15:38:50.529289,2,2020-11-22 15:38:50.732509,,,
92,l3p,uni way,right,1,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.732509,6.0,moi av,
93,z8j,uni way,right,2,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.732509,7.0,moi av,
94,2gl,uni way,right,3,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.732509,8.0,moi av,
95,wa8,uni way,right,4,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.732509,9.0,moi av,
96,aj0,uni way,right,5,2020-11-22 15:38:50.653025,0,2020-11-22 15:38:50.732509,,,
97,akl,moi av,left,1,2020-11-22 15:38:50.591191,0,2020-11-22 15:38:50.732509,4.0,ronald,
98,l8z,moi av,left,2,2020-11-22 15:38:50.622402,0,2020-11-22 15:38:50.733510,5.0,ronald,
99,7ya,moi av,right,1,2020-11-22 15:38:50.529289,3,2020-11-22 15:38:50.733510,,,
100,g3c,moi av,right,2,2020-11-22 15:38:50.529289,3,2020-11-22 15:38:50.733510,3.0,tom mb,
101,9xj,moi av,right,3,2020-11-22 15:38:50.544026,3,2020-11-22 15:38:50.733510,4.0,tom mb,
102,ppk,moi av,right,4,2020-11-22 15:38:50.715480,3,2020-11-22 15:38:50.733510,5.0,tom mb,
103,ldj,moi av,right,5,2020-11-22 15:38:50.731508,3,2020-11-22 15:38:50.733510,,,
104,l3p,moi av,right,6,2020-11-22 15:38:50.732509,3,2020-11-22 15:38:50.733510,6.0,tom mb,
105,u0x,tom mb,left,1,2020-11-22 15:38:50.529289,0,2020-11-22 15:38:50.733510,1.0,tom mb,
106,0ld,tom mb,left,2,2020-11-22 15:38:50.529289,1,2020-11-22 15:38:50.733510,,,
107,yaw,tom mb,left,3,2020-11-22 15:38:50.637816,1,2020-11-22 15:38:50.733510,,,
108,gvj,tom mb,left,4,2020-11-22 15:38:50.684070,1,2020-11-22 15:38:50.733510,,,
109,bdv,tom mb,right,1,2020-11-22 15:38:50.575525,0,2020-11-22 15:38:50.733510,,,
110,van,tom mb,right,2,2020-11-22 15:38:50.699605,0,2020-11-22 15:38:50.733510,,,
111,g3c,tom mb,right,3,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.733510,1.0,uni way,
112,9xj,tom mb,right,4,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.733510,,,
113,ppk,tom mb,right,5,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.733510,,,
114,l3p,tom mb,right,6,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.733510,2.0,uni way,
115,aag,ronald,left,1,2020-11-22 15:38:50.559705,0,2020-11-22 15:38:50.733510,,,
116,mc4,ronald,left,2,2020-11-22 15:38:50.606730,0,2020-11-22 15:38:50.733510,,,
117,q7z,ronald,left,3,2020-11-22 15:38:50.668885,0,2020-11-22 15:38:50.733510,,,
118,akl,ronald,left,4,2020-11-22 15:38:50.732509,0,2020-11-22 15:38:50.733510,,,
119,l8z,ronald,left,5,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.733510,,,
120,9n3,uni way,left,1,2020-11-22 15:38:50.732509,0,2020-11-22 15:38:50.935607,1.0,uni way,
121,5wc,uni way,left,2,2020-11-22 15:38:50.732509,1,2020-11-22 15:38:50.935607,,,
122,3ed,uni way,left,3,2020-11-22 15:38:50.871961,1,2020-11-22 15:38:50.935607,2.0,uni way,
123,g4z,uni way,left,4,2020-11-22 15:38:50.887294,2,2020-11-22 15:38:50.935607,,,
124,g3c,uni way,right,1,2020-11-22 15:38:50.733510,1,2020-11-22 15:38:50.935607,,,
125,l3p,uni way,right,2,2020-11-22 15:38:50.733510,1,2020-11-22 15:38:50.935607,,,
126,dxh,uni way,right,3,2020-11-22 15:38:50.795044,1,2020-11-22 15:38:50.935607,6.0,moi av,
127,mg4,uni way,right,4,2020-11-22 15:38:50.810458,1,2020-11-22 15:38:50.935607,,,
128,h2u,uni way,right,5,2020-11-22 15:38:50.841212,1,2020-11-22 15:38:50.935607,,,
129,us9,uni way,right,6,2020-11-22 15:38:50.856395,1,2020-11-22 15:38:50.935607,7.0,moi av,
130,xuz,moi av,left,1,2020-11-22 15:38:50.825961,0,2020-11-22 15:38:50.935607,,,
131,97w,moi av,left,2,2020-11-22 15:38:50.919030,0,2020-11-22 15:38:50.935607,1.0,ronald,
132,fph,moi av,left,3,2020-11-22 15:38:50.934592,0,2020-11-22 15:38:50.935607,2.0,ronald,
133,z8j,moi av,right,7,2020-11-22 15:38:50.732509,1,2020-11-22 15:38:50.936605,,,
134,2gl,moi av,right,8,2020-11-22 15:38:50.732509,1,2020-11-22 15:38:50.936605,,,
135,wa8,moi av,right,9,2020-11-22 15:38:50.732509,1,2020-11-22 15:38:50.936605,1.0,tom mb,
136,wms,moi av,right,4,2020-11-22 15:38:50.764173,1,2020-11-22 15:38:50.936605,,,
137,zey,moi av,right,5,2020-11-22 15:38:50.780302,1,2020-11-22 15:38:50.936605,,,
138,dxh,moi av,right,6,2020-11-22 15:38:50.935607,1,2020-11-22 15:38:50.936605,2.0,tom mb,
139,u0x,tom mb,left,1,2020-11-22 15:38:50.733510,0,2020-11-22 15:38:50.936605,,,
140,mc9,tom mb,left,2,2020-11-22 15:38:50.747508,0,2020-11-22 15:38:50.936605,1.0,tom mb,
141,wa8,tom mb,right,1,2020-11-22 15:38:50.936605,0,2020-11-22 15:38:50.936605,2.0,uni way,
142,dxh,tom mb,right,2,2020-11-22 15:38:50.936605,0,2020-11-22 15:38:50.936605,,,
143,97w,ronald,left,1,2020-11-22 15:38:50.935607,0,2020-11-22 15:38:50.936605,,,
144,fph,ronald,left,2,2020-11-22 15:38:50.935607,0,2020-11-22 15:38:50.936605,,,
145,9n3,uni way,left,1,2020-11-22 15:38:50.935607,0,2020-11-22 15:38:51.152271,,,
146,3ed,uni way,left,2,2020-11-22 15:38:50.935607,0,2020-11-22 15:38:51.152271,,,
147,ldw,uni way,left,3,2020-11-22 15:38:50.949678,0,2020-11-22 15:38:51.152271,,,
148,bf3,uni way,right,7,2020-11-22 15:38:50.902987,0,2020-11-22 15:38:51.152271,5.0,moi av,
149,wa8,uni way,right,2,2020-11-22 15:38:50.936605,0,2020-11-22 15:38:51.152271,,,
150,bjt,moi av,left,1,2020-11-22 15:38:50.980851,0,2020-11-22 15:38:51.152271,3.0,ronald,
151,a99,moi av,left,2,2020-11-22 15:38:51.105015,0,2020-11-22 15:38:51.152271,,,
152,us9,moi av,right,7,2020-11-22 15:38:50.935607,0,2020-11-22 15:38:51.153271,,,
153,q7t,moi av,right,2,2020-11-22 15:38:50.965538,0,2020-11-22 15:38:51.153271,3.0,tom mb,
154,bhm,moi av,right,3,2020-11-22 15:38:51.058261,0,2020-11-22 15:38:51.153271,4.0,tom mb,
155,j57,moi av,right,4,2020-11-22 15:38:51.073493,0,2020-11-22 15:38:51.153271,,,
156,bf3,moi av,right,5,2020-11-22 15:38:51.152271,0,2020-11-22 15:38:51.153271,5.0,tom mb,
157,mc9,tom mb,left,1,2020-11-22 15:38:50.936605,0,2020-11-22 15:38:51.153271,1.0,tom mb,
158,mg5,tom mb,left,2,2020-11-22 15:38:51.136271,1,2020-11-22 15:38:51.153271,2.0,tom mb,
159,d4t,tom mb,left,3,2020-11-22 15:38:51.151256,2,2020-11-22 15:38:51.153271,3.0,tom mb,
160,jb0,tom mb,right,1,2020-11-22 15:38:51.027309,0,2020-11-22 15:38:51.153271,,,
161,5cn,tom mb,right,2,2020-11-22 15:38:51.123514,0,2020-11-22 15:38:51.153271,,,
162,q7t,tom mb,right,3,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.153271,1.0,uni way,
163,bhm,tom mb,right,4,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.153271,,,
164,bf3,tom mb,right,5,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.153271,2.0,uni way,
165,rb8,ronald,left,1,2020-11-22 15:38:51.012098,0,2020-11-22 15:38:51.153271,,,
166,q35,ronald,left,2,2020-11-22 15:38:51.042683,0,2020-11-22 15:38:51.153271,,,
167,bjt,ronald,left,3,2020-11-22 15:38:51.152271,0,2020-11-22 15:38:51.153271,,,
168,sat,ronald,right,1,2020-11-22 15:38:50.996618,0,2020-11-22 15:38:51.153271,,,
169,v3y,ronald,right,2,2020-11-22 15:38:51.089120,0,2020-11-22 15:38:51.153271,1.0,moi av,
170,89k,uni way,left,1,2020-11-22 15:38:51.214123,0,2020-11-22 15:38:51.358400,,,
171,t2d,moi av,left,1,2020-11-22 15:38:51.262107,0,2020-11-22 15:38:51.358400,3.0,ronald,
172,mc9,tom mb,left,1,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.358400,,,
173,mg5,tom mb,left,2,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.358400,,,
174,d4t,tom mb,left,3,2020-11-22 15:38:51.153271,0,2020-11-22 15:38:51.358400,,,
175,0jt,tom mb,left,4,2020-11-22 15:38:51.198110,0,2020-11-22 15:38:51.358400,1.0,tom mb,
176,8be,tom mb,right,1,2020-11-22 15:38:51.341708,0,2020-11-22 15:38:51.358400,,,
177,txm,ronald,left,1,2020-11-22 15:38:51.246110,0,2020-11-22 15:38:51.358400,1.0,uni way,
178,2s8,ronald,left,2,2020-11-22 15:38:51.357403,0,2020-11-22 15:38:51.358400,2.0,uni way,
179,t2d,ronald,left,3,2020-11-22 15:38:51.358400,0,2020-11-22 15:38:51.358400,3.0,uni way,
180,h4g,ronald,right,1,2020-11-22 15:38:51.166990,0,2020-11-22 15:38:51.358400,3.0,moi av,
181,fsf,ronald,right,2,2020-11-22 15:38:51.230109,0,2020-11-22 15:38:51.358400,4.0,moi av,
182,g2r,ronald,right,3,2020-11-22 15:38:51.325955,0,2020-11-22 15:38:51.358400,5.0,moi av,
183,txm,uni way,left,1,2020-11-22 15:38:51.358400,0,2020-11-22 15:38:51.561508,1.0,uni way,
184,2s8,uni way,left,2,2020-11-22 15:38:51.358400,1,2020-11-22 15:38:51.561508,2.0,uni way,
185,t2d,uni way,left,3,2020-11-22 15:38:51.358400,2,2020-11-22 15:38:51.561508,,,
186,3r7,uni way,left,4,2020-11-22 15:38:51.496562,2,2020-11-22 15:38:51.561508,,,
187,zs3,uni way,left,5,2020-11-22 15:38:51.528565,2,2020-11-22 15:38:51.561508,3.0,uni way,
188,0jt,tom mb,left,1,2020-11-22 15:38:51.358400,0,2020-11-22 15:38:51.562504,,,
189,9s4,ronald,right,1,2020-11-22 15:38:51.372562,1,2020-11-22 15:38:51.562504,,,
190,dy2,ronald,right,2,2020-11-22 15:38:51.387965,1,2020-11-22 15:38:51.562504,6.0,moi av,
191,tue,ronald,right,3,2020-11-22 15:38:51.403989,1,2020-11-22 15:38:51.562504,7.0,moi av,
192,4p8,ronald,right,4,2020-11-22 15:38:51.418864,1,2020-11-22 15:38:51.562504,8.0,moi av,
193,f9h,ronald,right,5,2020-11-22 15:38:51.449506,1,2020-11-22 15:38:51.562504,,,
194,ge3,ronald,right,6,2020-11-22 15:38:51.480513,1,2020-11-22 15:38:51.562504,,,
195,txm,uni way,left,1,2020-11-22 15:38:51.561508,0,2020-11-22 15:38:51.778095,1.0,uni way,
196,2s8,uni way,left,2,2020-11-22 15:38:51.561508,1,2020-11-22 15:38:51.778095,,,
197,zs3,uni way,left,3,2020-11-22 15:38:51.561508,1,2020-11-22 15:38:51.778095,2.0,uni way,
198,8pn,uni way,left,4,2020-11-22 15:38:51.575886,2,2020-11-22 15:38:51.778095,,,
199,02e,uni way,left,5,2020-11-22 15:38:51.699858,2,2020-11-22 15:38:51.778095,,,
200,fwh,uni way,left,6,2020-11-22 15:38:51.746824,2,2020-11-22 15:38:51.778095,3.0,uni way,
201,smz,ronald,left,1,2020-11-22 15:38:51.777094,0,2020-11-22 15:38:51.778095,,,
202,u5f,tom mb,right,1,2020-11-22 15:38:51.435268,11,2020-11-22 15:38:53.641556,,,
203,3jf,tom mb,right,2,2020-11-22 15:38:51.512560,11,2020-11-22 15:38:53.641556,21.0,uni way,
204,j8c,tom mb,right,3,2020-11-22 15:38:51.653203,11,2020-11-22 15:38:53.641556,,,
205,jqw,tom mb,right,4,2020-11-22 15:38:51.731068,11,2020-11-22 15:38:53.641556,22.0,uni way,
206,r5e,tom mb,right,5,2020-11-22 15:38:51.762098,11,2020-11-22 15:38:53.642555,23.0,uni way,
207,73e,tom mb,right,6,2020-11-22 15:38:51.933548,11,2020-11-22 15:38:53.642555,24.0,uni way,
208,v3y,moi av,right,1,2020-11-22 15:38:51.153271,22,2020-11-22 15:38:53.858517,,,
209,u9k,moi av,right,2,2020-11-22 15:38:51.294161,22,2020-11-22 15:38:53.858517,13.0,tom mb,
210,h4g,moi av,right,3,2020-11-22 15:38:51.358400,22,2020-11-22 15:38:53.858517,14.0,tom mb,
211,fsf,moi av,right,4,2020-11-22 15:38:51.358400,22,2020-11-22 15:38:53.858517,,,
212,g2r,moi av,right,5,2020-11-22 15:38:51.358400,22,2020-11-22 15:38:53.858517,,,
213,dy2,moi av,right,6,2020-11-22 15:38:51.562504,22,2020-11-22 15:38:53.859516,15.0,tom mb,
214,4hj,tom mb,right,7,2020-11-22 15:38:52.216174,9,2020-11-22 15:38:53.859516,25.0,uni way,
215,7uf,tom mb,right,8,2020-11-22 15:38:52.308119,9,2020-11-22 15:38:53.859516,26.0,uni way,
216,knk,tom mb,right,9,2020-11-22 15:38:52.479230,9,2020-11-22 15:38:53.859516,,,
217,rwl,tom mb,right,10,2020-11-22 15:38:52.510629,9,2020-11-22 15:38:53.859516,27.0,uni way,
218,325,tom mb,right,11,2020-11-22 15:38:52.916651,9,2020-11-22 15:38:53.859516,,,
219,hqx,tom mb,right,12,2020-11-22 15:38:52.930728,9,2020-11-22 15:38:53.859516,28.0,uni way,
220,txm,uni way,left,1,2020-11-22 15:38:51.778095,15,2020-11-22 15:38:54.063017,,,
221,zs3,uni way,left,2,2020-11-22 15:38:51.778095,15,2020-11-22 15:38:54.063017,16.0,uni way,
222,fwh,uni way,left,3,2020-11-22 15:38:51.778095,16,2020-11-22 15:38:54.063017,17.0,uni way,
223,v0k,uni way,left,4,2020-11-22 15:38:51.823783,17,2020-11-22 15:38:54.063017,,,
224,xr0,uni way,left,5,2020-11-22 15:38:51.839323,17,2020-11-22 15:38:54.063017,,,
225,lhs,uni way,left,6,2020-11-22 15:38:51.886705,17,2020-11-22 15:38:54.063017,18.0,uni way,
226,fbs,moi av,left,1,2020-11-22 15:38:51.622088,12,2020-11-22 15:38:54.063017,,,
227,w3q,moi av,left,2,2020-11-22 15:38:51.637878,12,2020-11-22 15:38:54.063017,22.0,ronald,
228,20t,moi av,left,3,2020-11-22 15:38:51.917660,12,2020-11-22 15:38:54.063017,23.0,ronald,
229,ey9,moi av,left,4,2020-11-22 15:38:52.245920,12,2020-11-22 15:38:54.063017,,,
230,sa5,moi av,left,5,2020-11-22 15:38:52.463770,12,2020-11-22 15:38:54.063017,24.0,ronald,
231,7el,moi av,left,6,2020-11-22 15:38:52.791864,12,2020-11-22 15:38:54.063017,,,
232,tue,moi av,right,7,2020-11-22 15:38:51.562504,16,2020-11-22 15:38:54.063017,10.0,tom mb,
233,4p8,moi av,right,8,2020-11-22 15:38:51.562504,16,2020-11-22 15:38:54.063017,,,
234,cja,moi av,right,9,2020-11-22 15:38:51.606770,16,2020-11-22 15:38:54.063017,11.0,tom mb,
235,2hl,moi av,right,10,2020-11-22 15:38:51.715647,16,2020-11-22 15:38:54.064016,,,
236,ruw,moi av,right,11,2020-11-22 15:38:51.855185,16,2020-11-22 15:38:54.064016,,,
237,77b,moi av,right,12,2020-11-22 15:38:51.981615,16,2020-11-22 15:38:54.064016,12.0,tom mb,
238,5y8,tom mb,right,13,2020-11-22 15:38:52.961553,6,2020-11-22 15:38:54.064016,,,
239,8gv,tom mb,right,14,2020-11-22 15:38:52.992928,6,2020-11-22 15:38:54.064016,34.0,uni way,
240,27u,tom mb,right,15,2020-11-22 15:38:53.229026,6,2020-11-22 15:38:54.064016,,,
241,95c,tom mb,right,16,2020-11-22 15:38:53.260061,6,2020-11-22 15:38:54.064016,,,
242,a8g,tom mb,right,17,2020-11-22 15:38:53.468154,6,2020-11-22 15:38:54.064016,,,
243,nue,tom mb,right,12,2020-11-22 15:38:53.748190,6,2020-11-22 15:38:54.064016,,,
244,dtk,uni way,left,7,2020-11-22 15:38:51.965546,14,2020-11-22 15:38:54.281546,,,
245,hrt,uni way,left,8,2020-11-22 15:38:52.029697,14,2020-11-22 15:38:54.281546,15.0,uni way,
246,e3n,uni way,left,9,2020-11-22 15:38:52.183627,15,2020-11-22 15:38:54.281546,,,
247,kjs,uni way,left,10,2020-11-22 15:38:52.292513,15,2020-11-22 15:38:54.281546,16.0,uni way,
248,mvz,uni way,left,11,2020-11-22 15:38:52.324084,16,2020-11-22 15:38:54.281546,,,
249,47c,uni way,left,12,2020-11-22 15:38:52.355176,16,2020-11-22 15:38:54.281546,17.0,uni way,
250,q7t,uni way,right,1,2020-11-22 15:38:51.153271,30,2020-11-22 15:38:54.281546,22.0,moi av,
251,bf3,uni way,right,2,2020-11-22 15:38:51.153271,30,2020-11-22 15:38:54.281546,,,
252,q8z,uni way,right,3,2020-11-22 15:38:51.182248,30,2020-11-22 15:38:54.281546,,,
253,wps,uni way,right,4,2020-11-22 15:38:51.278186,30,2020-11-22 15:38:54.281546,,,
254,my4,uni way,right,5,2020-11-22 15:38:51.310180,30,2020-11-22 15:38:54.281546,,,
255,2kd,uni way,right,6,2020-11-22 15:38:51.465110,30,2020-11-22 15:38:54.281546,,,
